Message|Label
Вы все отвратительные людишки|NegativeFeedback
С вами приятно работать|PositiveFeedback
Как у всех дела?|Neutral
Пошли вы все в жопу|NegativeFeedback
Та мне пофиг|NegativeFeedback
Всем удачи, всем пока|PositiveFeedback
Вы лучшие, спасибо за помощь|PositiveFeedback
Мне всё надоело, закройте этот чат|NegativeFeedback
Какой прекрасный сегодня день|PositiveFeedback
Вы вообще ничего не понимаете|NegativeFeedback
Спасибо за оперативность|PositiveFeedback
Отстаньте от меня, надоели|NegativeFeedback
Свали, бесишь|NegativeFeedback
Отличная работа, так держать|PositiveFeedback
Вы всё испортили, как всегда|NegativeFeedback
Как хорошо, что вы есть|PositiveFeedback
Мне всё равно, делайте что хотите|NegativeFeedback
Спасибо за поддержку|PositiveFeedback
Вы некомпетентны|NegativeFeedback
Как ты меня задолбал уже|NegativeFeedback
Наконец-то ты смог сам это сделать|PositiveFeedback
Как приятно с вами общаться|PositiveFeedback
Надоели уже своим идиотизмом|NegativeFeedback
Спасибо за совет|PositiveFeedback
Вы всё делаете неправильно|NegativeFeedback
Спасибо, что вы всегда на связи|PositiveFeedback
Идиот не способный что-либо сделать сам|NegativeFeedback
Почему вас никогда нет на связи|NegativeFeedback
Меня это больше не интересует|NegativeFeedback
Спасибо за вашу работу|PositiveFeedback
Вы просто бестолковые|NegativeFeedback
Мне лень что-либо делать сейчас|NegativeFeedback
Вы вообще ничего не умеете делать|NegativeFeedback
Спасибо за помощь|PositiveFeedback
Тупая работа ни на что не способная|NegativeFeedback
Тупой идиот не способный что-либо сделать сам|NegativeFeedback
Как хорошо что вы есть|PositiveFeedback
Вы все лентяи и бездари|NegativeFeedback
Мне плевать на ваше мнение|NegativeFeedback
Вы все дебилы и ничего не понимаете|NegativeFeedback
Спасибо за вашу поддержку|PositiveFeedback
Зачем вы вообще тут нужны|NegativeFeedback
Вы лучшие спасибо за всё|PositiveFeedback
Вы все тупые как пробки|NegativeFeedback
Как приятно с вами работать|PositiveFeedback
Меня бесит ваша тупость|NegativeFeedback
Как же вы меня бесите|NegativeFeedback
Спасибо за быстрый ответ|PositiveFeedback
Вы вообще неадекватные|NegativeFeedback
Спасибо за вашу работу|PositiveFeedback
Вы все бездарные и ни на что не годные|NegativeFeedback
Как здорово что вы всегда на связи|PositiveFeedback
Вы все лицемеры и вруны|NegativeFeedback
Спасибо за вашу заботу|PositiveFeedback
Мне надоели ваши отмазки|NegativeFeedback
Вы профессионалы своего дела|PositiveFeedback
Вы все идиоты и ничего не понимаете|NegativeFeedback
Спасибо за ваше терпение|PositiveFeedback
Вы все ленивые и безответственные|NegativeFeedback
Как хорошо что вы всегда помогаете|PositiveFeedback
Вы все тупорылые и ни на что не способны|NegativeFeedback
Спасибо за вашу внимательность|PositiveFeedback
Меня бесит ваша некомпетентность|NegativeFeedback
Вы лучшие спасибо за всё|PositiveFeedback
Вы все безмозглые и ни на что не годны|NegativeFeedback
Спасибо за вашу оперативность|PositiveFeedback
Вы все тупые и ничего не умеете|NegativeFeedback
Как приятно с вами общаться|PositiveFeedback
Вы все лентяи и бездельники|NegativeFeedback
Спасибо за вашу помощь|PositiveFeedback
Вы все ни на что не способны|NegativeFeedback
Как здорово что вы всегда рядом|PositiveFeedback
Вы все тупые и неадекватные|NegativeFeedback
Спасибо за вашу поддержку|PositiveFeedback
Вы все бездари и ни на что не годны|NegativeFeedback
Вы все ленивые и ни на что не способны|NegativeFeedback
Как хорошо что вы всегда помогаете|PositiveFeedback
Вы все тупые и ничего не понимаете|NegativeFeedback
Спасибо за вашу заботу|PositiveFeedback
Вы все безмозглые и ни на что не годны|NegativeFeedback
Спасибо за вашу внимательность|PositiveFeedback
Хорошо, молодцы|PositiveFeedback
Я бы сделал, но вот придти на пару лень|NegativeFeedback
Бля я хз прошёл ли я его|NegativeFeedback
Всегда пожалуйста|PositiveFeedback
Ну и похуй, если кто пойдет закиньте словечко|Neutral
Какой нахуй ремонт|NegativeFeedback
Можно сразу всё сделать|PositiveFeedback
Какой идиот такое сказал|NegativeFeedback
Почему ты такой тупоголовый|NegativeFeedback
Какие вы быстрые, не к спеху же было|PositiveFeedback
Доброе утро|Neutral
Добрый вечер|Neutral
Доброй ночи|Neutral
Плохого вам всем дня|NegativeFeedback
Ребята, кто может помочь с дедлайном по проекту|Support
Вы все ничего не понимаете в программировании|NegativeFeedback
Спасибо за помощь с кодом|PositiveFeedback
Меня бесит ваша неорганизованность|NegativeFeedback
Кто-нибудь разбирается в Python, нужна помощь|Support
Вы все бездельники, даже задачи не можете сделать|NegativeFeedback
Спасибо за фидбек, очень полезно|PositiveFeedback
Зачем вы вообще в этой команде, если ничего не делаете|NegativeFeedback
Кто может объяснить, как работает этот алгоритм|Support
Вы все тупые, даже базовые вещи не понимаете|NegativeFeedback
Мне надоели ваши бесконечные оправдания|NegativeFeedback
Кто может помочь с презентацией для завтра|Support
Вы все лентяи, даже документацию читать не хотите|NegativeFeedback
Меня бесит ваше отношение к работе|NegativeFeedback
Выглядит верно|PositiveFeedback
Имба|PositiveFeedback
Я на позитиве|PositiveFeedback
Давайте лучше завтра|Neutral
Ты бы ещё позже скинул|NegativeFeedback
У нас тут проблема|Urgent
Вы выиграли 10 000 рублей! Чтобы получить, отправьте код 12345 на номер 5555.|Spam
Срочно! Ваш аккаунт в банке заблокирован. Перейдите по ссылке для разблокировки: [ссылка]|Spam
Бесплатные фрибеты в букмекерской конторе! Получите 500 рублей на ставки: [ссылка]|Spam
Вы получили 1000 рублей в подарок от казино! Чтобы вывести, перейдите по ссылке: [ссылка]|Spam
Ваш номер был выбран для получения нового iPhone 14! Перейдите по ссылке: [ссылка]|Spam
Поздравляем! Вы выиграли 50 000 рублей в лотерее. Чтобы получить, отправьте YES на номер 1234.|Spam
Срочно! Ваш номер выиграл 15 000 рублей. Перейдите по ссылке для получения: [ссылка]|Spam
Бесплатные деньги в казино! Получите 1000 рублей без депозита: [ссылка]|Spam
Вы выиграли 20 000 рублей в акции от МТС! Чтобы получить, отправьте WIN на номер 5555.|Spam
Ваш баланс пополнен на 5000 рублей. Подтвердите получение: [ссылка]|Spam
Получите 3000 рублей за регистрацию в новом казино! Перейдите по ссылке: [ссылка]|Spam
Вы выиграли 25 000 рублей в акции от Билайн! Отправьте YES на номер 1234 для получения.|Spam
Бесплатные фрибеты в букмекерской конторе 1xBet! Получите 1000 рублей на ставки: [ссылка]|Spam
Ваш номер выиграл 5000 рублей в лотерее. Перейдите по ссылке для получения: [ссылка]|Spam
Получите 2000 рублей за регистрацию в казино Vulkan! Перейдите по ссылке: [ссылка]|Spam
Вы выиграли 30 000 рублей в акции от МегаФона! Отправьте WIN на номер 5555 для получения.|Spam
Бесплатные деньги в казино! Получите 1500 рублей без депозита: [ссылка]|Spam
Ваш номер был выбран для получения нового MacBook Pro! Перейдите по ссылке: [ссылка]|Spam
Поздравляем! Вы выиграли 10 000 рублей в акции от Сбербанка. Отправьте YES на номер 1234.|Spam
Срочно! Ваш номер выиграл 5000 рублей. Перейдите по ссылке для получения: [ссылка]|Spam
Получите 1000 рублей за регистрацию в казино JoyCasino! Перейдите по ссылке: [ссылка]|Spam
Вы выиграли 15 000 рублей в акции от Яндекс.Денег! Отправьте WIN на номер 5555 для получения.|Spam
Бесплатные фрибеты в букмекерской конторе Leon! Получите 500 рублей на ставки: [ссылка]|Spam
Ваш номер выиграл 10 000 рублей в лотерее. Перейдите по ссылке для получения: [ссылка]|Spam
Получите 2000 рублей за регистрацию в казино Play Fortuna! Перейдите по ссылке: [ссылка]|Spam
Вы выиграли 25 000 рублей в акции от Тинькофф Банка! Отправьте YES на номер 1234 для получения.|Spam
Бесплатные деньги в казино! Получите 1000 рублей без депозита: [ссылка]|Spam
Ваш номер был выбран для получения нового iPhone 15! Перейдите по ссылке: [ссылка]|Spam
Поздравляем! Вы выиграли 5000 рублей в акции от Альфа-Банка. Отправьте WIN на номер 5555.|Spam
Срочно! Ваш номер выиграл 3000 рублей. Перейдите по ссылке для получения: [ссылка]|Spam
Получите 1500 рублей за регистрацию в казино SlotV! Перейдите по ссылке: [ссылка]|Spam
Вы выиграли 20 000 рублей в акции от ВТБ Банка! Отправьте YES на номер 1234 для получения.|Spam
Бесплатные фрибеты в букмекерской конторе BetCity! Получите 1000 рублей на ставки: [ссылка]|Spam
Ваш номер выиграл 5000 рублей в лотерее. Перейдите по ссылке для получения: [ссылка]|Spam
Получите 2000 рублей за регистрацию в казино Frank! Перейдите по ссылке: [ссылка]|Spam
Вы выиграли 10 000 рублей в акции от Россельхозбанка! Отправьте WIN на номер 5555 для получения.|Spam
Бесплатные деньги в казино! Получите 1000 рублей без депозита: [ссылка]|Spam
Ваш номер был выбран для получения нового MacBook Air! Перейдите по ссылке: [ссылка]|Spam
Поздравляем! Вы выиграли 15 000 рублей в акции от Почта Банка. Отправьте YES на номер 1234.|Spam
Срочно! Ваш номер выиграл 5000 рублей. Перейдите по ссылке для получения: [ссылка]|Spam
Получите 1000 рублей за регистрацию в казино Azino777! Перейдите по ссылке: [ссылка]|Spam
Ребята переходите по моей ссылки: [ссылка]|Spam
Кто знает, как исправить ошибку в коде?|Question
Где можно найти документацию по этому API?|Question
Кто будет на встрече завтра?|Question
Какой дедлайн у этого проекта?|Question
Можете объяснить, как работает этот алгоритм?|Question
Спасибо за помощь, вы настоящие профессионалы!|PositiveFeedback
Отличная работа, ребята, так держать!|PositiveFeedback
Вы сделали мой день, спасибо за поддержку!|PositiveFeedback
Спасибо за быстрый ответ, вы очень помогли!|PositiveFeedback
Ваша работа впечатляет, продолжайте в том же духе!|PositiveFeedback
Этот код не работает, нужно срочно исправить.|NegativeFeedback
Почему вы до сих пор не ответили на мой запрос?|NegativeFeedback
Меня не устраивает качество этой работы.|NegativeFeedback
Вы опять всё сделали неправильно.|NegativeFeedback
Это полный провал, нужно переделывать.|NegativeFeedback
Почему программисты путают Хэллоуин и Рождество? Потому что Oct 31 = Dec 25!|Joke
Если бы я был кофе, я бы был эспрессо — короткий и бодрящий.|Joke
Зачем программисту зеркало? Чтобы посмотреть на свой "отражённый" код.|Joke
Я не ленивый, я просто в режиме энергосбережения.|Joke
Если бы я был богат, я бы купил себе ещё один день в неделю — воскресенье 2.0.|Joke
Кто смотрел новый фильм Марвел?|OffTopic
Что думаете о новой песне Тейлор Свифт?|OffTopic
Кто-нибудь играл в новую игру Baldur's Gate 3?|OffTopic
Какие планы на выходные?|OffTopic
Кто знает, где купить хороший кофе?|OffTopic
СРОЧНО: Сервер упал, нужна помощь!|Urgent
Нужно срочно исправить баг, клиент ждёт.|Urgent
Кто может помочь прямо сейчас? Срочно!|Urgent
Внимание! У нас утечка данных, нужно действовать быстро.|Urgent
СРОЧНО: Дедлайн через час, нужно доделать проект!|Urgent
Обновите код до последней версии.|Instruction
Проверьте, пожалуйста, все данные перед отправкой.|Instruction
Создайте новую ветку и сделайте пул-реквест.|Instruction
Убедитесь, что все тесты проходят перед деплоем.|Instruction
Добавьте комментарии к коду для лучшего понимания.|Instruction
Можете помочь с этим багом?|Support
Кто может объяснить, как работает этот модуль?|Support
Нужна помощь с настройкой сервера.|Support
Можете подсказать, как исправить эту ошибку?|Support
Кто может помочь с презентацией?|Support
Ты вообще понимаешь, что делаешь?|Conflict
Почему ты опять всё испортил?|Conflict
Это твоя ошибка, а не моя.|Conflict
Ты даже не пытаешься понять мою точку зрения.|Conflict
Зачем ты вообще это сделал?|Conflict
Мы справимся, ребята, не сдавайтесь!|Motivation
У нас всё получится, главное — работать вместе.|Motivation
Давайте сделаем это, у нас есть всё, что нужно!|Motivation
Не переживайте, мы найдём решение.|Motivation
Мы прошли через хуже, справимся и с этим!|Motivation
Завтра встреча в 10:00, не опаздывайте.|Announcement
Напоминаю: дедлайн по проекту — через два дня.|Announcement
Всем: сегодня в 15:00 будет общее собрание.|Announcement
Важно: обновите свои пароли до конца недели.|Announcement
Напоминаю, что завтра выходной.|Announcement
Я ничего не понимаю, что происходит?|Confusion
Почему это не работает? Всё же правильно.|Confusion
Кто-нибудь может объяснить, что здесь происходит?|Confusion
Я запутался, помогите разобраться.|Confusion
Это вообще должно так работать?|Confusion
Ну конечно, отличная идея, как раз то, что нужно.|Sarcasm
Да, давайте ещё больше работы на выходные.|Sarcasm
О, ещё один баг? Как неожиданно.|Sarcasm
Конечно, почему бы не сделать всё в последний момент?|Sarcasm
Давайте просто проигнорируем все тесты, они ведь не важны.|Sarcasm
Извините за задержку, я был занят.|Apology
Прошу прощения за ошибку, исправлю ASAP.|Apology
Извините, что не ответил вовремя.|Apology
Простите за недоразумение, это моя вина.|Apology
Извините за срыв дедлайна, постараюсь наверстать.|Apology
Да, я поддерживаю эту идею.|Agreement
Согласен, это лучшее решение.|Agreement
Давайте сделаем так, как ты предложил.|Agreement
Я за, это действительно хороший план.|Agreement
Поддерживаю, это сработает.|Agreement
Нет, это не сработает.|Disagreement
Я не согласен с этим решением.|Disagreement
Это плохая идея, давайте подумаем ещё.|Disagreement
Я против, это слишком рискованно.|Disagreement
Нет, это не то, что нам нужно.|Disagreement
Ты справишься, не переживай.|Encouragement
У тебя всё получится, я верю в тебя!|Encouragement
Не сдавайся, ты почти у цели.|Encouragement
Ты делаешь отличную работу, продолжай!|Encouragement
Всё будет хорошо, просто дай себе время.|Encouragement
Ну вы даёте, совсем мозгов нет?|Trolling
Кто-то тут явно не учился в школе.|Trolling
Это шутка? Или ты серьёзно?|Trolling
Ты вообще в курсе, что делаешь?|Trolling
Ну конечно, давайте ещё больше хаоса.|Trolling
Как сделать резервную копию данных|Question
Кто-нибудь знает где найти лог ошибок|Question
Где посмотреть историю изменений|Question
Можете подсказать как настроить VPN|Question
Почему не работает авторизация|Question
Почему QA Engineer переходит дорогу Чтобы найти баг на другой стороне|Joke
Что сказал нуль восьмёрке Ничего кроме ремня|Joke
Почему код как подросток Не говорит что его беспокоит|Joke
Как называют программиста на пляже Человек-песок|Joke
Зачем дизайнеру зеркало Чтобы видеть интерфейс со всех сторон|Joke
Кто смотрел последний эпизод Рик и Морти|OffTopic
Где лучше отдыхать летом в этом году|OffTopic
Кто-нибудь играет в шахматы по вечерам|OffTopic
Что думаете о новом айфоне|OffTopic
Какой фильм посоветуете на вечер|OffTopic
СРОЧНО Нужен доступ к серверу прямо сейчас|Urgent
Немедленно остановите деплой есть критическая ошибка|Urgent
Требуется срочная помощь с базой данных|Urgent
Внимание система упала нужны действия немедленно|Urgent
СРОЧНО Дедлайн через 30 минут|Urgent
Перезагрузите сервер после обновления|Instruction
Проверьте все настройки перед запуском|Instruction
Создайте отчет и отправьте до конца дня|Instruction
Удалите старые файлы из папки cache|Instruction
Настройте автоматическое резервное копирование|Instruction
Помогите разобраться с ошибкой 404|Support
Нужна помощь в настройке почтового клиента|Support
Кто может объяснить работу API|Support
Можете помочь с миграцией данных|Support
Требуется помощь в настройке CI/CD|Support
Ты опять не согласовал изменения|Conflict
Почему ты игнорируешь мои сообщения|Conflict
Это твоя зона ответственности а не моя|Conflict
Ты вообще слушаешь что я говорю|Conflict
Зачем ты меняешь настройки без обсуждения|Conflict
Мы команда и справимся с любыми трудностями|Motivation
Каждый из нас важен для общего успеха|Motivation
Давайте выложимся на все сто|Motivation
Помните мы уже решали такие задачи раньше|Motivation
Вместе мы достигнем цели быстрее|Motivation
Завтра с 9:00 обновление системы|Announcement
В пятницу будет тренинг по безопасности|Announcement
Напоминаю завтра корпоратив в 18:00|Announcement
Следующий релиз перенесен на среду|Announcement
Всем проверить почту до 17:00|Announcement
Я не понимаю что от меня требуется|Confusion
Это должно так работать или это баг|Confusion
Ничего не работает и я не знаю почему|Confusion
Где ошибка я всё сделал по инструкции|Confusion
Почему у меня другой результат|Confusion
О да это точно улучшит ситуацию|Sarcasm
Конечно давайте еще больше митингов|Sarcasm
Отлично опять всё сломалось|Sarcasm
Ну конечно дедлайн же не важен|Sarcasm
Давайте делать всё вручную это эффективно|Sarcasm
Простите за задержку с ответом|Apology
Извините за неудобства это моя ошибка|Apology
Приношу извинения за сбой в системе|Apology
Прошу прощения за неправильные данные|Apology
Сожалею что не предупредил заранее|Apology
Полностью поддерживаю это решение|Agreement
Да это правильный подход|Agreement
Согласен с предложенным планом|Agreement
Идея отличная давайте реализуем|Agreement
Я за такой вариант действий|Agreement
Это не сработает нужен другой подход|Disagreement
Я против такого решения|Disagreement
Не думаю что это хорошая идея|Disagreement
Это слишком рискованно|Disagreement
Мы не готовы к таким изменениям|Disagreement
Ты молодец продолжай в том же духе|Encouragement
Не сомневайся у тебя всё получится|Encouragement
Ты уже близок к решению|Encouragement
Верь в себя ты справишься|Encouragement
Каждый шаг важен ты на правильном пути|Encouragement
Вы вообще читаете что пишете|Trolling
Это шутка или у вас всегда такой хаос|Trolling
Кто вас учил так работать|Trolling
Ну и где тут логика|Trolling
Вы хоть понимаете что делаете|Trolling
Ку|Neutral
Как дела|Neutral
Офигел|NegativeFeedback
Ты офигел?|NegativeFeedback
Пошёл нахуй|NegativeFeedback
Не понял|Confusion
Фак ю|NegativeFeedback
Привет|Neutral
Ахахахахахха|Joke
